flag,start_time,target_buy_volume,target_sell_volume,target_num,trade_price,trade_volume,trade_num
0,2018-09-06 05:00:00,21.55,20.00,6,-1.0,0.00,0
0,2018-09-06 06:00:00,21.64,20.00,6,-1.0,0.00,0
0,2018-09-06 07:00:00,21.73,20.00,6,-1.0,0.00,0
0,2018-09-06 08:00:00,21.42,20.00,6,-1.0,0.00,0
0,2018-09-06 09:00:00,20.63,20.00,5,-1.0,0.00,0
0,2018-09-06 10:00:00,20.00,20.41,5,-1.0,0.00,0
0,2018-09-06 11:00:00,20.00,21.61,5,-1.0,0.00,0
0,2018-09-06 12:00:00,20.00,22.03,5,-1.0,0.00,0
0,2018-09-06 13:00:00,20.00,21.69,5,-1.0,0.00,0
0,2018-09-06 14:00:00,20.00,22.26,6,-1.0,0.00,0
0,2018-09-06 15:00:00,20.00,20.27,5,-1.0,0.00,0
0,2018-09-06 16:00:00,20.40,20.00,5,-1.0,0.00,0
0,2018-09-06 17:00:00,21.79,20.00,6,-1.0,0.00,0
0,2018-09-06 18:00:00,21.95,20.00,6,-1.0,0.00,0
0,2018-09-06 19:00:00,22.08,20.00,6,-1.0,0.00,0
0,2018-09-06 20:00:00,21.73,20.00,6,-1.0,0.00,0
0,2018-09-06 21:00:00,22.15,20.00,6,-1.0,0.00,0
0,2018-09-06 22:00:00,22.03,20.00,6,-1.0,0.00,0
0,2018-09-06 23:00:00,21.81,20.00,6,-1.0,0.00,0
0,2018-09-07 00:00:00,41.45,20.00,6,-1.0,0.00,0
0,2018-09-07 01:00:00,20.77,20.00,5,-1.0,0.00,0
0,2018-09-07 02:00:00,20.54,20.00,5,-1.0,0.00,0
0,2018-09-07 03:00:00,38.47,20.00,6,-1.0,0.00,0
0,2018-09-07 04:00:00,20.46,20.00,5,-1.0,0.00,0
0,2018-09-07 05:00:00,20.54,20.00,5,-1.0,0.00,0
0,2018-09-07 06:00:00,20.63,20.00,5,-1.0,0.00,0
0,2018-09-07 07:00:00,20.68,20.00,5,-1.0,0.00,0
0,2018-09-07 08:00:00,20.47,20.00,5,-1.0,0.00,0
0,2018-09-07 09:00:00,20.48,20.00,5,-1.0,0.00,0
0,2018-09-07 10:00:00,21.00,20.07,6,-1.0,0.00,0
0,2018-09-07 11:00:00,20.12,20.00,5,-1.0,0.00,0
